date,age,cases
2020-07-16,20_24,78
2020-07-16,25_29,66
2020-07-16,30_34,54
2020-07-16,35_39,56
2020-07-16,40_44,37
2020-07-16,45_49,35
2020-07-16,50_54,51
2020-07-16,55_59,26
2020-07-16,60+,140
2020-07-17,00_04,16
2020-07-17,05_09,19
2020-07-17,10_14,13
2020-07-17,15_19,26
2020-07-17,20_24,64
2020-07-17,25_29,34
2020-07-17,30_34,54
2020-07-17,35_39,56
2020-07-17,40_44,55
2020-07-17,45_49,36
2020-07-17,50_54,40
2020-07-17,55_59,35
2020-07-17,60+,87
2020-07-18,00_04,15
2020-07-18,05_09,11
2020-07-18,10_14,12
2020-07-18,15_19,30
2020-07-18,20_24,48
2020-07-18,25_29,55
2020-07-18,30_34,50
2020-07-18,35_39,46
2020-07-18,40_44,33
2020-07-18,45_49,30
2020-07-18,50_54,38
2020-07-18,55_59,37
2020-07-18,60+,65
2020-07-19,00_04,16
2020-07-19,05_09,17
2020-07-19,10_14,12
2020-07-19,15_19,28
2020-07-19,20_24,40
2020-07-19,25_29,53
2020-07-19,30_34,43
2020-07-19,35_39,36
2020-07-19,40_44,33
2020-07-19,45_49,33
2020-07-19,50_54,21
2020-07-19,55_59,20
2020-07-19,60+,60
2020-07-20,00_04,23
2020-07-20,05_09,10
2020-07-20,10_14,21
2020-07-20,15_19,55
2020-07-20,20_24,71
2020-07-20,25_29,81
2020-07-20,30_34,61
2020-07-20,35_39,69
2020-07-20,40_44,74
2020-07-20,45_49,54
2020-07-20,50_54,51
2020-07-20,55_59,38
2020-07-20,60+,149
2020-07-21,00_04,10
2020-07-21,05_09,16
2020-07-21,10_14,14
2020-07-21,15_19,52
2020-07-21,20_24,59
2020-07-21,25_29,66
2020-07-21,30_34,69
2020-07-21,35_39,70
2020-07-21,40_44,60
2020-07-21,45_49,51
2020-07-21,50_54,46
2020-07-21,55_59,42
2020-07-21,60+,128
2020-07-22,00_04,17
2020-07-22,05_09,25
2020-07-22,10_14,25
2020-07-22,15_19,51
2020-07-22,20_24,90
2020-07-22,25_29,72
2020-07-22,30_34,71
2020-07-22,35_39,55
2020-07-22,40_44,60
2020-07-22,45_49,63
2020-07-22,50_54,48
2020-07-22,55_59,47
2020-07-22,60+,126
2020-07-23,00_04,9
2020-07-23,05_09,18
2020-07-23,10_14,21
2020-07-23,15_19,40
2020-07-23,20_24,98
2020-07-23,25_29,71
2020-07-23,30_34,63
2020-07-23,35_39,64
2020-07-23,40_44,59
2020-07-23,45_49,44
2020-07-23,50_54,51
2020-07-23,55_59,47
2020-07-23,60+,138
2020-07-24,00_04,17
2020-07-24,05_09,20
2020-07-24,10_14,24
2020-07-24,15_19,53
2020-07-24,20_24,68
2020-07-24,25_29,68
2020-07-24,30_34,67
2020-07-24,35_39,56
2020-07-24,40_44,53
2020-07-24,45_49,59
2020-07-24,50_54,43
2020-07-24,55_59,32
2020-07-24,60+,142
2020-07-25,00_04,21
2020-07-25,05_09,12
2020-07-25,10_14,14
2020-07-25,15_19,37
2020-07-25,20_24,52
2020-07-25,25_29,56
2020-07-25,30_34,46
2020-07-25,35_39,36
2020-07-25,40_44,52
2020-07-25,45_49,27
2020-07-25,50_54,31
2020-07-25,55_59,28
2020-07-25,60+,84
2020-07-26,00_04,12
2020-07-26,05_09,14
2020-07-26,10_14,16
2020-07-26,15_19,42
2020-07-26,20_24,60
2020-07-26,25_29,54
2020-07-26,30_34,54
2020-07-26,35_39,50
2020-07-26,40_44,36
2020-07-26,45_49,41
2020-07-26,50_54,45
2020-07-26,55_59,29
2020-07-26,60+,56
2020-07-27,00_04,22
2020-07-27,05_09,22
2020-07-27,10_14,27
2020-07-27,15_19,47
2020-07-27,20_24,79
2020-07-27,25_29,85
2020-07-27,30_34,87
2020-07-27,35_39,67
2020-07-27,40_44,69
2020-07-27,45_49,62
2020-07-27,50_54,61
2020-07-27,55_59,48
2020-07-27,60+,138
2020-07-28,00_04,24
2020-07-28,05_09,22
2020-07-28,10_14,28
2020-07-28,15_19,52
2020-07-28,20_24,89
2020-07-28,25_29,79
2020-07-28,30_34,76
2020-07-28,35_39,60
2020-07-28,40_44,55
2020-07-28,45_49,36
2020-07-28,50_54,44
2020-07-28,55_59,51
2020-07-28,60+,169
2020-07-29,00_04,18
2020-07-29,05_09,31
2020-07-29,10_14,24
2020-07-29,15_19,58
2020-07-29,20_24,95
2020-07-29,25_29,103
2020-07-29,30_34,96
2020-07-29,35_39,106
2020-07-29,40_44,78
2020-07-29,45_49,81
2020-07-29,50_54,64
2020-07-29,55_59,62
2020-07-29,60+,172
2020-07-30,00_04,25
2020-07-30,05_09,15
2020-07-30,10_14,24
2020-07-30,15_19,55
2020-07-30,20_24,92
2020-07-30,25_29,81
2020-07-30,30_34,98
2020-07-30,35_39,85
2020-07-30,40_44,80
2020-07-30,45_49,68
2020-07-30,50_54,54
2020-07-30,55_59,44
2020-07-30,60+,148
2020-07-31,00_04,17
2020-07-31,05_09,14
2020-07-31,10_14,15
2020-07-31,15_19,43
2020-07-31,20_24,65
2020-07-31,25_29,52
2020-07-31,30_34,56
2020-07-31,35_39,60
2020-07-31,40_44,53
2020-07-31,45_49,52
2020-07-31,50_54,43
2020-07-31,55_59,45
2020-07-31,60+,117
2020-08-01,00_04,15
2020-08-01,05_09,17
2020-08-01,10_14,15
2020-08-01,15_19,35
2020-08-01,20_24,51
2020-08-01,25_29,43
2020-08-01,30_34,53
2020-08-01,35_39,64
2020-08-01,40_44,36
2020-08-01,45_49,35
2020-08-01,50_54,33
2020-08-01,55_59,30
2020-08-01,60+,76
2020-08-02,00_04,22
2020-08-02,05_09,15
2020-08-02,10_14,14
2020-08-02,15_19,31
2020-08-02,20_24,81
2020-08-02,25_29,56
2020-08-02,30_34,45
2020-08-02,35_39,53
2020-08-02,40_44,36
2020-08-02,45_49,41
2020-08-02,50_54,30
2020-08-02,55_59,15
2020-08-02,60+,72
2020-08-03,00_04,31
2020-08-03,05_09,20
2020-08-03,10_14,24
2020-08-03,15_19,51
2020-08-03,20_24,98
2020-08-03,25_29,100
2020-08-03,30_34,99
2020-08-03,35_39,78
2020-08-03,40_44,76
2020-08-03,45_49,67
2020-08-03,50_54,69
2020-08-03,55_59,57
2020-08-03,60+,184
2020-08-04,00_04,30
2020-08-04,05_09,16
2020-08-04,10_14,23
2020-08-04,15_19,58
2020-08-04,20_24,97
2020-08-04,25_29,99
2020-08-04,30_34,103
2020-08-04,35_39,63
2020-08-04,40_44,83
2020-08-04,45_49,70
2020-08-04,50_54,74
2020-08-04,55_59,45
2020-08-04,60+,193
2020-08-05,00_04,25
2020-08-05,05_09,13
2020-08-05,10_14,27
2020-08-05,15_19,52
2020-08-05,20_24,105
2020-08-05,25_29,105
2020-08-05,30_34,91
2020-08-05,35_39,82
2020-08-05,40_44,97
2020-08-05,45_49,64
2020-08-05,50_54,62
2020-08-05,55_59,57
2020-08-05,60+,180
2020-08-06,00_04,24
2020-08-06,05_09,25
2020-08-06,10_14,23
2020-08-06,15_19,63
2020-08-06,20_24,99
2020-08-06,25_29,109
2020-08-06,30_34,96
2020-08-06,35_39,95
2020-08-06,40_44,75
2020-08-06,45_49,71
2020-08-06,50_54,79
2020-08-06,55_59,41
2020-08-06,60+,184
2020-08-07,00_04,29
2020-08-07,05_09,27
2020-08-07,10_14,16
2020-08-07,15_19,66
2020-08-07,20_24,91
2020-08-07,25_29,92
2020-08-07,30_34,89
2020-08-07,35_39,79
2020-08-07,40_44,65
2020-08-07,45_49,44
2020-08-07,50_54,66
2020-08-07,55_59,48
2020-08-07,60+,160
2020-08-08,00_04,24
2020-08-08,05_09,20
2020-08-08,10_14,28
2020-08-08,15_19,45
2020-08-08,20_24,61
2020-08-08,25_29,71
2020-08-08,30_34,71
2020-08-08,35_39,63
2020-08-08,40_44,55
2020-08-08,45_49,49
2020-08-08,50_54,37
2020-08-08,55_59,28
2020-08-08,60+,93
2020-08-09,00_04,17
2020-08-09,05_09,18
2020-08-09,10_14,22
2020-08-09,15_19,34
2020-08-09,20_24,77
2020-08-09,25_29,53
2020-08-09,30_34,57
2020-08-09,35_39,58
2020-08-09,40_44,46
2020-08-09,45_49,43
2020-08-09,50_54,32
2020-08-09,55_59,36
2020-08-09,60+,72
2020-08-10,00_04,34
2020-08-10,05_09,42
2020-08-10,10_14,32
2020-08-10,15_19,86
2020-08-10,20_24,160
2020-08-10,25_29,164
2020-08-10,30_34,159
2020-08-10,35_39,114
2020-08-10,40_44,95
2020-08-10,45_49,100
2020-08-10,50_54,83
2020-08-10,55_59,66
2020-08-10,60+,212
2020-08-11,00_04,21
2020-08-11,05_09,39
2020-08-11,10_14,42
2020-08-11,15_19,74
2020-08-11,20_24,123
2020-08-11,25_29,127
2020-08-11,30_34,135
2020-08-11,35_39,110
2020-08-11,40_44,91
2020-08-11,45_49,85
2020-08-11,50_54,78
2020-08-11,55_59,81
2020-08-11,60+,216
2020-08-12,00_04,37
2020-08-12,05_09,26
2020-08-12,10_14,35
2020-08-12,15_19,83
2020-08-12,20_24,153
2020-08-12,25_29,144
2020-08-12,30_34,116
2020-08-12,35_39,93
2020-08-12,40_44,79
2020-08-12,45_49,66
2020-08-12,50_54,59
2020-08-12,55_59,70
2020-08-12,60+,146
2020-08-13,00_04,22
2020-08-13,05_09,17
2020-08-13,10_14,16
2020-08-13,15_19,81
2020-08-13,20_24,126
2020-08-13,25_29,140
2020-08-13,30_34,109
2020-08-13,35_39,76
2020-08-13,40_44,74
2020-08-13,45_49,79
2020-08-13,50_54,65
2020-08-13,55_59,49
2020-08-13,60+,170
2020-08-14,00_04,25
2020-08-14,05_09,23
2020-08-14,10_14,25
2020-08-14,15_19,68
2020-08-14,20_24,136
2020-08-14,25_29,135
2020-08-14,30_34,108
2020-08-14,35_39,88
2020-08-14,40_44,83
2020-08-14,45_49,60
2020-08-14,50_54,67
2020-08-14,55_59,59
2020-08-14,60+,172
2020-08-15,00_04,20
2020-08-15,05_09,14
2020-08-15,10_14,16
2020-08-15,15_19,49
2020-08-15,20_24,94
2020-08-15,25_29,89
2020-08-15,30_34,62
2020-08-15,35_39,59
2020-08-15,40_44,48
2020-08-15,45_49,36
2020-08-15,50_54,43
2020-08-15,55_59,35
2020-08-15,60+,85
2020-08-16,00_04,10
2020-08-16,05_09,18
2020-08-16,10_14,17
2020-08-16,15_19,58
2020-08-16,20_24,68
2020-08-16,25_29,65
2020-08-16,30_34,61
2020-08-16,35_39,47
2020-08-16,40_44,45
2020-08-16,45_49,28
2020-08-16,50_54,33
2020-08-16,55_59,20
2020-08-16,60+,59
2020-08-17,00_04,35
2020-08-17,05_09,26
2020-08-17,10_14,28
2020-08-17,15_19,92
2020-08-17,20_24,175
2020-08-17,25_29,160
2020-08-17,30_34,121
2020-08-17,35_39,95
2020-08-17,40_44,69
2020-08-17,45_49,77
2020-08-17,50_54,75
2020-08-17,55_59,59
2020-08-17,60+,132
2020-08-18,00_04,20
2020-08-18,05_09,23
2020-08-18,10_14,17
2020-08-18,15_19,64
2020-08-18,20_24,151
2020-08-18,25_29,123
2020-08-18,30_34,82
2020-08-18,35_39,69
2020-08-18,40_44,76
2020-08-18,45_49,60
2020-08-18,50_54,56
2020-08-18,55_59,54
2020-08-18,60+,143
2020-08-19,00_04,22
2020-08-19,05_09,12
2020-08-19,10_14,21
2020-08-19,15_19,68
2020-08-19,20_24,152
2020-08-19,25_29,149
2020-08-19,30_34,131
2020-08-19,35_39,90
2020-08-19,40_44,86
2020-08-19,45_49,70
2020-08-19,50_54,73
2020-08-19,55_59,67
2020-08-19,60+,153
2020-08-20,00_04,29
2020-08-20,05_09,27
2020-08-20,10_14,37
2020-08-20,15_19,113
2020-08-20,20_24,199
2020-08-20,25_29,175
2020-08-20,30_34,113
2020-08-20,35_39,97
2020-08-20,40_44,80
2020-08-20,45_49,91
2020-08-20,50_54,71
2020-08-20,55_59,58
2020-08-20,60+,139
2020-08-21,00_04,29
2020-08-21,05_09,14
2020-08-21,10_14,30
2020-08-21,15_19,95
2020-08-21,20_24,141
2020-08-21,25_29,138
2020-08-21,30_34,112
2020-08-21,35_39,87
2020-08-21,40_44,60
2020-08-21,45_49,65
2020-08-21,50_54,68
2020-08-21,55_59,54
2020-08-21,60+,121
2020-08-22,00_04,17
2020-08-22,05_09,21
2020-08-22,10_14,18
2020-08-22,15_19,93
2020-08-22,20_24,129
2020-08-22,25_29,91
2020-08-22,30_34,71
2020-08-22,35_39,53
2020-08-22,40_44,45
2020-08-22,45_49,45
2020-08-22,50_54,35
2020-08-22,55_59,24
2020-08-22,60+,77
2020-08-23,00_04,22
